Scenario,User,Duration,High Speed Average,High Speed Ratio,High Speed Variance,Speed Average,Speed Duration,Speed Rel Other,Speed Variance,Acceleration Average,Brake Average,Average Front Dist,Ratio too Close,Average Distance Lane Switch,Average Duration Lane Switch,Average Insertion Space,Average Overtake Right Space,Average Overtake Space,Dist Before Lane Switch,Freq Insertion,Freq Lane Switch,Freq Overtake,Freq Overtake Right,Ratio Inseting too Close,Ratio Overtaking Right too Close,Ratio Overtaking too Close,Rotation when Lane Switch,Speed Dif When Lane Switch,Speed When Lane Switch,Angle Variance,Average Angle,Rotation Avg,Time Big Rotation,Time Big Turn,Total Average Angle,Freq Collisions
0.0,0.0,295.4239,20.3298159066,0.29702370052,4.8948169081,14.2869337868,0.29702370052,1.45342661514,27.5666411042,1.16569730324,0.967235189598,77.690061039,0.00260066974947,23.7933333333,2.08863333333,219.283398071,200.0,131.003643068,100.955436443,0.00676993296751,0.0101548994513,0.00338496648375,0.0,0.0,0.0,1.0,0.0547338538438,0.897990281511,12.6577969329,3.1148600506e-05,0.016402142512,0.0117069638491,39.3186,0.00829418337514,0.00604770371456,0.0
1.0,0.0,295.21169,23.104995367,0.583543964672,11.2075394197,18.7287798901,0.583543964672,1.54488343441,37.3122335074,1.35047660054,1.23940414962,95.4428363883,0.00186239237342,16.1333333333,1.00138888889,235.063856048,69.0393210762,96.9275289348,61.7108377971,0.0203243984003,0.0304865976005,0.0237117981337,0.016936998667,0.0,0.0,0.0,0.0687556622857,1.08062964872,19.952064962,9.23750815686e-05,0.0198945172561,0.0219287729535,55.3714,0.0396928725959,0.00896849334266,0.00677479946678
0.0,1.0,298.873275,20.4422369237,0.548887818759,6.68968711915,15.7755696752,0.548887818759,1.10652656234,48.1697310223,0.919135173841,0.976893781673,127.82353975,0.000725391054118,18.7475,2.63335,180.715553976,200.0,143.328511215,89.6478390574,0.00669179939223,0.0133835987845,0.00669179939223,0.0,0.0,0.0,0.5,0.169115220433,0.518670400524,8.15644102275,0.000214004659249,0.034691418162,0.0850268760044,48.26168,0.0762861784815,0.0106078245848,0.0133835987845
1.0,1.0,298.57344,23.75483681,0.571490350917,15.3038355819,18.8919972504,0.571490350917,1.32275210883,45.6787044515,1.41866523927,1.34361686071,76.5915638767,0.00675197365178,10.92,1.06459285714,119.545505504,90.9241911703,74.949176156,34.6159916219,0.0133970389329,0.0234448181325,0.0167462986661,0.00669851946643,0.0,0.0,0.0,0.0950043271029,0.715241918404,13.4635515348,6.12408707218e-05,0.0195613803504,0.0130049376409,30.39891,0.0128437412249,0.0062223625544,0.00669851946643
0.0,2.0,299.059179,20.474002627,0.890163882915,1.27532302151,19.4464506182,0.890163882915,1.24018573434,12.9665319706,0.58103204064,0.61573148408,111.850765404,0.0107523869047,19.3928571429,1.17865714286,112.863892373,54.5087800855,47.4377999497,26.9849931821,0.0434696572213,0.0468134770075,0.0434696572213,0.0200629187175,0.0,0.166666666667,0.0769230769231,0.0582990349896,1.01542708598,19.7033970875,5.2521297617e-05,0.020170464204,0.0172973886756,39.7791,0.00796798816866,0.00615617391219,0.00334381978625
1.0,2.0,297.58635,23.9717693626,0.653188696323,13.8393988843,19.7109965848,0.653188696323,1.37339203075,49.9260697065,0.94128148297,0.856547045886,87.4946205677,0.0205543701853,23.7907692308,1.54981076923,113.106842547,55.5559595802,56.881227209,22.2105343705,0.0436847993868,0.0436847993868,0.0436847993868,0.0235225842852,0.0769230769231,0.0,0.153846153846,0.0490543174197,0.901187667682,17.6382556521,5.86368618461e-05,0.0188907928274,0.0233756484749,45.044,0.0156210121869,0.00728723793401,0.0067207383672
0.0,3.0,298.957102,19.8588641298,0.755009660215,5.85282287764,17.9065581897,0.755009660215,1.28905178092,22.1941313113,0.688167879603,1.65694905446,84.6755220927,0.0249296636546,25.8010526316,1.58281052632,159.038080307,110.441011319,94.7190520541,42.7743997346,0.0468294611713,0.0635542687325,0.0468294611713,0.0200697690734,0.0,0.166666666667,0.0714285714286,0.0512949256719,1.04591746778,18.6718932705,0.000106602561663,0.020558002384,0.0332772474543,70.9079,0.0451108199463,0.0105550584605,0.0200697690734
1.0,3.0,298.82228,21.6560664917,0.578465032795,10.3862628518,17.1327268583,0.578465032795,1.3034468164,42.7817586905,1.24955015574,3.10499470888,73.0041461312,0.0486322505805,10.3207692308,0.847538461538,137.252274042,82.3936173769,79.7860324621,14.1657945533,0.0401576482182,0.043504118903,0.0401576482182,0.0234252947939,0.0,0.142857142857,0.166666666667,0.112965107328,0.945752924235,16.1474363584,0.000222423551959,0.0264597126404,0.0456171933909,83.5683,0.177023279523,0.0172997305997,0.0401576482182
0.0,4.0,298.941732,19.1149269568,0.531818354488,1.28941381249,15.2264120217,0.531818354488,1.03143573409,26.1039417694,0.865901696896,1.54661106281,76.5170286941,0.00206495090488,15.89,1.26966666667,80.2942634682,8.65967152689,66.1249792472,19.7078577619,0.0167256674622,0.0200708009546,0.0167256674622,0.0133805339697,0.0,0.25,0.2,0.113237431271,0.965051321944,14.6585014334,4.79254617029e-05,0.0178214555028,0.021345769502,28.4013,0.00808719473131,0.00633853672036,0.0200708009546
1.0,4.0,298.25542,21.2265998417,0.419494807504,9.76668674765,15.9600591383,0.419494807504,1.14896463128,28.3169749628,1.12789181907,1.04167161681,26.9611026575,0.01040115214,20.01,1.445105,113.051670789,22.5599886248,75.410012522,12.0469854146,0.0268226475147,0.0335283093933,0.0268226475147,0.0167641546967,0.0,0.0,0.125,0.0592870978041,1.022440655,16.2353978487,4.61265819322e-05,0.0164682416728,0.016376669469,50.72121,0.0140879250409,0.00772642079341,0.0134113237573
