User,Scenario,Velocity,Dist to Front,Dist to Back,Dist to Left-Front,Dist to Left-Back,Dist to Right-Front,Dist to Right-Back
11,1,16.2462004832,61.7483283832,110.456135886,129.88722427,135.970080625,68.7481644963,113.270666077
12,0,15.6131353596,68.5379443602,103.953520793,112.685713774,127.466224738,86.1595430779,95.6069855462
12,1,16.937606698,35.9037220967,91.2504533051,50.6754952163,72.0093270764,108.522309551,116.161938206
13,0,16.6901752699,65.0991338213,110.609341331,81.6998138805,98.3979959778,126.869339994,142.178231542
13,1,18.2972430183,67.1847269879,93.756031186,69.574839379,63.4916876639,165.549102048,170.356097442
14,0,17.9746198291,63.7135056019,85.5410231501,76.0763777225,79.1901215342,139.706323583,148.826621713
14,1,23.1805318775,119.139277532,110.004280271,110.935397674,114.099065978,143.235162523,152.349598612
15,0,19.0521954304,92.3610915672,96.0317126778,111.923440543,109.841874365,139.769451357,146.250379585
15,1,19.2479097708,107.137163879,114.648767582,64.5689737986,81.3012740048,164.920337822,181.591563903
16,0,18.8367245442,56.2776800193,80.29873627,73.704045204,72.0603114175,162.555308162,163.358684954
16,1,17.8460905649,127.005795499,136.109402589,136.966917833,147.54605441,142.85963204,168.175749389
17,0,19.7851687068,48.7157783754,82.460341724,93.3626028107,106.621311903,109.736632132,123.051473338
17,1,17.0031239212,36.1045245868,78.4072585392,88.558244113,103.818290869,102.086872141,116.224868174
18,0,16.1729161881,44.0899876149,97.091453677,46.3010738274,62.8759384689,145.843849905,158.12110513
18,1,15.476983681,60.3187982416,60.8449881441,66.1316425033,62.6702824385,153.134690593,173.938977435
19,0,15.7296950661,62.7937505736,75.1717548424,58.5335315908,38.7708497787,193.319243782,200.0
19,1,14.9042695133,129.690903202,169.521960699,120.761450941,137.829429718,145.367067227,166.908327061
20,0,15.2816958376,58.7376036884,81.8369178408,55.1575801773,61.1260281939,144.423250917,145.345240717
20,1,18.366085696,115.733729529,115.893025378,100.168729567,97.4677749788,182.185609517,182.340674403
21,0,17.8524149808,107.732258422,117.415693518,84.383895152,82.2213305385,176.552801597,182.309658681
21,1,17.9272002128,59.4104072181,115.842121858,90.4777011454,106.36659287,107.291101514,125.812588043
22,0,17.5154911189,80.376634403,99.5688916915,48.7302045673,66.3861103318,173.809657827,189.010912898
22,1,23.2675741413,157.708339549,169.246354836,145.191202164,152.333402087,158.52730249,177.127257041
23,0,18.5689754602,66.4114358647,92.5946100992,60.272947529,59.6081740976,173.567998583,187.810385637
23,1,17.087827002,75.6703204513,80.4243114831,99.4294822065,92.6721027772,113.189265222,126.906562582
24,0,15.8137908509,35.45250981,72.2846332423,64.7219297054,62.9872579844,126.277114777,132.292927865
24,1,17.9335137828,80.7743448381,102.751230748,54.7128881346,52.9152462917,183.577988955,177.565385078
25,0,14.5869596458,31.9193822921,74.3671806455,91.51999268,100.15377453,117.15496969,128.784806202
25,1,19.2944517049,57.3809400147,91.2533315044,111.098800191,105.307499289,118.716460818,127.022520727
26,0,16.2342352354,76.6854425426,92.460444556,78.5109716481,73.3645503181,171.443159282,188.093110704
26,1,18.1782838565,69.8539230926,116.801840981,62.3790475532,55.6103403573,192.559761104,199.154153542
27,0,17.496912386,57.081804122,124.217529522,63.4635334888,66.7436791889,135.162060094,140.473530102
27,1,19.6224593268,42.1401433984,107.050247426,52.6741176408,49.7202770642,172.356911947,191.117031523
28,0,17.4341823992,37.695176559,87.8755852228,69.0247749411,65.592132094,128.233550366,139.869042938
28,1,18.6120332512,68.7668649683,86.1020833779,67.0586995072,69.7691232818,126.230011841,126.641735942
29,0,17.785921486,33.2606092502,94.8341586912,43.8527431057,77.9704298575,146.388643646,164.899571789
29,1,16.941588242,57.329224472,75.1277212086,56.5783771434,54.1037784885,143.140628541,154.233600531
30,0,15.7366593712,70.3086872259,89.4915086106,51.4223837018,52.5471276301,173.775403172,186.566581898
30,1,16.4520312963,86.4102570831,134.885765698,51.8050111169,66.4333298921,160.594687764,182.000246008
31,0,18.8577507418,81.8823618803,122.544463016,58.3420943401,72.2616478709,159.366032115,191.634852115
31,1,15.0688174523,60.561496107,107.379977917,42.4259613256,80.9606579114,151.647354292,174.511324551
32,0,19.1041225305,82.4541648485,89.296802013,60.7830678853,60.6782513429,184.478551562,185.674521972
32,1,17.7342087765,65.794145973,96.9802856081,91.5221038096,96.7924150709,147.872396647,149.828023512
33,0,13.5215111411,144.085237013,183.32857529,188.507448526,191.181338237,116.732003444,123.974274015
33,1,13.7943694018,106.081361472,96.4362555373,85.6958153843,106.569453632,165.711100711,163.996952686
34,0,13.6486946159,152.54112364,164.411331843,129.411000638,138.436034201,175.671148014,180.527810801
34,1,14.5575568935,129.237324835,136.561214668,84.3470793427,90.3272506564,171.272562803,179.502507622
35,0,19.2148244709,43.2757259682,83.2058086488,71.6079514411,59.2453898657,175.255747767,185.879742002
35,1,15.9553019741,52.4933586266,111.160363964,126.09326183,144.890950316,81.1951779768,89.9009698199
36,0,16.2197139188,97.1417884688,75.5684165,87.1533929646,68.4272837,194.876512312,200.0
36,1,15.4162603655,83.0544790805,131.355954427,83.4192177376,109.924532735,143.202287334,165.528682141
37,0,19.0408443849,49.5501750289,69.7634843119,71.1024006751,65.617709116,129.43063721,137.006442842
37,1,16.1632177879,51.1155722407,77.3660232556,59.1478578121,59.6806574357,147.689200219,156.870365504
38,0,14.6825567874,97.2786160674,74.7469416319,91.9634600495,89.6242557796,166.946569848,160.208237344
38,1,16.2417936512,162.633195138,161.308766904,150.846192991,152.308599758,187.437170218,190.729231587
39,0,19.0609465563,137.474503772,138.521477035,125.087979521,119.9187184,196.594688697,200.0
39,1,15.7571486109,59.4833401684,138.008864522,60.2535784753,83.4273549207,147.237535621,161.585996086
