Scenario,User,Duration,High Speed Average,High Speed Ratio,High Speed Variance,Speed Average,Speed Duration,Speed Rel Other,Speed Variance,Acceleration Average,Brake Average,Average Front Dist,Ratio too Close,Average Distance Lane Switch,Average Duration Lane Switch,Average Insertion Space,Average Overtake Right Space,Average Overtake Space,Dist Before Lane Switch,Freq Insertion,Freq Lane Switch,Freq Overtake,Freq Overtake Right,Ratio Inseting too Close,Ratio Overtaking Right too Close,Ratio Overtaking too Close,Rotation when Lane Switch,Speed Dif When Lane Switch,Speed When Lane Switch,Angle Variance,Average Angle,Rotation Avg,Time Big Rotation,Time Big Turn,Total Average Angle,Freq Collisions
0.0,0.0,145.3649,21.052525284,0.457565065569,4.09789178161,14.8041303404,0.457565065569,1.71753505655,46.9877384879,1.23712261447,0.863470601637,102.244372427,0.00528531990873,23.7933333333,2.08863333333,219.283398071,200.0,131.003643068,100.955436443,0.0137584795229,0.0206377192844,0.00687923976146,0.0,0.0,0.0,1.0,0.0547338538438,0.880932300086,12.6577969329,4.69438267289e-05,0.0177417557026,0.0174647338014,31.3336,0.0168562011875,0.00706583052951,0.0
1.0,0.0,145.23069,23.6118749222,0.473749728794,12.4681999808,17.8466029534,0.473749728794,1.42742219213,42.2840321657,1.68158077815,1.57999264895,69.2843348382,0.00378570121783,17.945,1.14875,259.314927675,90.4399,145.318180813,34.1488676967,0.00688559697678,0.0137711939536,0.00688559697678,0.00688559697678,0.0,0.0,0.0,0.0762276100326,1.03014602484,17.8631440131,0.000121993160419,0.0233322414245,0.020754759207,26.2684,0.0515166594609,0.00907845229522,0.0137711939536
0.0,1.0,148.859275,19.2150538274,0.489488478296,2.80094866573,13.1831993401,0.489488478296,0.909638177187,59.0410265449,0.974434860141,1.09111966151,150.261488851,0.00145640908166,28.66,1.9822,0.0,200.0,200.0,14.0233,0.0,0.00671775406672,0.0,0.0,0.0,0.0,0.0,0.0487434791192,1.22846501928,16.0933791595,0.00031708126419,0.0397181061531,0.143184760551,34.24768,0.146446366879,0.0152854335406,0.0201532622002
1.0,1.0,148.55944,21.4806820816,0.584606673262,12.6540858509,17.004474737,0.584606673262,1.40725050547,43.1380127346,1.83099485119,2.17155626029,69.0691375135,0.0135700565376,10.92,1.06459285714,119.545505504,90.9241911703,74.949176156,34.6159916219,0.0269252495836,0.0471191867713,0.0336565619795,0.0134626247918,0.0,0.0,0.0,0.0950043271029,0.797535588006,13.4635515348,8.4007277615e-05,0.0199514898832,0.0216359746885,27.81591,0.0258132367758,0.00779103267964,0.0134626247918
0.0,2.0,149.078179,19.9687340388,0.779662595691,1.64708882953,18.018736711,0.779662595691,1.37138185903,21.3072299414,0.759986078367,0.887192724237,87.1347285515,0.0215698905203,15.007,0.99345,99.2593975935,64.9863807729,53.4289467366,16.1481121315,0.0603710084224,0.0670788982471,0.0603710084224,0.0268315592988,0.0,0.25,0.111111111111,0.0682461153958,1.05521637836,18.9315352982,6.41452730682e-05,0.020610162184,0.0277469157248,31.9951,0.0159842306633,0.00739417524901,0.00670788982471
1.0,2.0,147.57435,20.6832135127,0.397088247382,10.7190127052,15.1522836097,0.397088247382,1.21725069624,37.1592391693,1.09295738407,1.03616257716,48.0654450245,0.0365896919078,30.7875,1.9770675,74.2291170762,72.6656636176,77.6225402173,19.4863067829,0.0542099626392,0.0542099626392,0.0542099626392,0.0271049813196,0.125,0.0,0.125,0.0415928756723,1.16179533624,17.3601111103,6.94331582662e-05,0.019781251113,0.0327422841999,27.079,0.0202040530756,0.00786376564025,0.0135524906598
0.0,3.0,148.893102,20.355803473,0.713374216624,4.73501469023,17.491869279,0.713374216624,1.45351479496,31.9983916302,0.812405370339,1.49317558142,107.58698289,0.002914171269,18.9192307692,1.14264615385,205.500517779,151.186540903,126.955308941,57.2826487366,0.05372982289,0.0873109621962,0.05372982289,0.0201486835837,0.0,0.0,0.0,0.0655286219027,1.14442183631,19.8967692657,0.000112164944426,0.0209933314145,0.0473810274194,46.0619,0.0550945603914,0.0109175560784,0.026864911445
1.0,3.0,148.79328,20.5890084697,0.488336838868,7.34280189867,15.285901027,0.488336838868,1.30887260344,43.3928375841,1.55390511688,3.8757454731,63.4644443328,0.0698915972549,11.1542857143,1.00971428571,139.568709837,87.9462136091,104.446762999,11.1012127665,0.0336036681226,0.0470451353717,0.0336036681226,0.0201622008736,0.0,0.0,0.0,0.108464294136,0.953749830602,14.477813091,0.000225242121694,0.0267551483218,0.0539009570944,46.1373,0.228078176649,0.0185650982166,0.0604866026208
0.0,4.0,148.962732,19.1829821336,0.764061577496,1.49670122779,17.396934578,0.764061577496,1.12330642072,14.8401390065,0.696795900103,0.824789022353,85.3085014523,0.00291549432646,20.17,1.396,117.935711641,13.5674353927,93.8765385224,22.3507854369,0.0201392654372,0.0268523539163,0.0201392654372,0.0134261769581,0.0,0.0,0.0,0.0622015979799,0.963378630454,16.676273399,6.54162747665e-05,0.0196267474073,0.0139937475598,20.0183,0.016229562707,0.00675845968209,0.00671308847907
1.0,4.0,148.24342,19.7230485934,0.280407723999,6.14891684048,14.3297610581,0.280407723999,1.10658923451,20.0997563754,1.39031141197,1.29161095319,22.9224213963,0.00966788272963,25.8625,1.9082625,73.8690004512,13.3176432117,66.1556947544,17.9264272279,0.0202369858979,0.0269826478639,0.0202369858979,0.0134913239319,0.0,0.0,0.0,0.0478330877725,1.07900652682,15.3047397282,5.81102804047e-05,0.0201900595572,0.0161915231139,19.19921,0.0215982604827,0.00731598306612,0.0269826478639
